Tributary,1997-Woody,1997-NonWoody,2005-Woody,2005-NonWoody,2008-Woody,2008-NonWoody,2012-Woody,2012-NonWoody
Waal,4722.493913529,67064.28097532,6606.725458029,65016.03747554,6359.212566259,56162.7594261,6484.1475808,54079.9845085
Nederrijn/Lek,1982.02261449,68705.0096053,2064.02865656,63704.2680717,2315.52357852,61677.4509754,2798.67789824,59641.8147357
IJssel,3953.84705316991,95381.99026273,4069.31169539991,88918.428138205, 4345.03193008991,86445.145766399,4343.15586248, 81843.7032645947
