tributary,1997,2005,2008,2012
Waal, 71786.7754745, 71622.76289745, 62521.97182843, 60564.1320648
Nederrijn/Lek, 70687.0315208, 65768.2968721, 63992.9752395, 62440.4925785
IJssel, 99335.837901814, 92987.738962189, 90790.177576418, 86186.8580922947
